C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\0.png,2019-03-07 12:20:00.632000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\1.png,2019-03-07 12:20:00.632000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\2.png,2019-03-07 12:20:00.640000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\3.png,2019-03-07 12:20:00.640000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\4.png,2019-03-07 12:20:00.656000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\5.png,2019-03-07 12:20:00.664000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\6.png,2019-03-07 12:20:00.672000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\7.png,2019-03-07 12:20:00.681000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\8.png,2019-03-07 12:20:00.689000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\9.png,2019-03-07 12:20:00.704000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\10.png,2019-03-07 12:20:00.704000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\11.png,2019-03-07 12:20:00.713000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\12.png,2019-03-07 12:20:00.721000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\13.png,2019-03-07 12:20:00.729000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\14.png,2019-03-07 12:20:00.738000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\15.png,2019-03-07 12:20:00.753000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\16.png,2019-03-07 12:20:00.753000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\17.png,2019-03-07 12:20:00.761000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\18.png,2019-03-07 12:20:00.769000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\19.png,2019-03-07 12:20:00.785000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\20.png,2019-03-07 12:20:00.793000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\21.png,2019-03-07 12:20:00.793000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\22.png,2019-03-07 12:20:00.802000
C:\Users\cmtech\Documents\PythonScripts\Patient_7_backup\imgs\23.png,2019-03-07 12:20:00.810000
